model_size,init_time,tokens,decode_time,speed,count
1b,0.74,30,0.29,103.59,15
1b,0.76,30,0.27,110.25,15
1b,0.71,30,0.27,109.69,15
1b,0.84,30,0.29,102.48,15
1b,0.79,30,0.27,109.25,15
1b,0.84,30,0.33,92.19,15
1b,0.84,30,0.30,100.26,15
1b,0.74,30,0.31,97.97,15
1b,0.84,30,0.32,92.90,15
1b,0.75,30,0.32,93.17,15
1b,0.69,30,0.27,109.77,15
1b,0.70,30,0.28,108.63,15
1b,0.76,30,0.30,101.40,15
1b,0.76,30,0.28,106.73,15
1b,0.79,30,0.27,110.66,15
1b,0.85,30,0.29,102.43,15
1b,0.78,30,0.28,108.87,15
1b,0.73,30,0.27,109.49,15
1b,0.70,30,0.29,102.07,15
1b,0.76,30,0.27,109.32,15
1b,0.84,30,0.32,92.32,15
1b,0.74,30,0.31,96.35,15
1b,0.75,30,0.27,109.13,15
1b,0.72,30,0.27,109.63,15
1b,0.70,30,0.27,110.22,15
1b,0.70,30,0.27,109.42,15
1b,0.81,30,0.32,92.78,15
1b,0.79,30,0.30,100.47,15
1b,0.75,30,0.27,110.55,15
1b,0.72,30,0.27,110.72,15
1b,0.80,30,0.27,110.47,15
1b,0.75,30,0.29,103.76,15
1b,0.83,30,0.28,107.12,15
1b,0.76,30,0.27,109.83,15
1b,0.73,30,0.29,103.77,15
1b,0.77,30,0.28,108.23,15
1b,0.83,30,0.28,108.82,15
1b,0.74,30,0.29,102.39,15
1b,0.75,30,0.27,109.70,15
1b,0.82,30,0.28,105.45,15
1b,0.70,30,0.28,107.84,15
1b,0.81,30,0.33,92.18,15
1b,0.85,30,0.35,86.55,15
1b,0.75,30,0.29,103.56,15
1b,0.84,30,0.30,99.29,15
1b,0.78,30,0.29,104.63,15
1b,0.74,30,0.28,108.49,15
1b,0.69,30,0.27,109.94,15
1b,0.86,30,0.30,99.82,15
1b,0.80,30,0.28,107.42,15
1b,0.75,30,0.27,110.05,15
1b,0.72,30,0.29,105.09,15
1b,0.86,30,0.32,93.31,15
1b,0.78,30,0.34,87.27,15
1b,0.77,30,0.27,111.69,15
1b,0.70,30,0.28,108.75,15
1b,0.81,30,0.32,93.48,15
1b,0.79,30,0.30,100.33,15
1b,0.76,30,0.28,108.72,15
1b,0.76,30,0.27,110.66,15
1b,0.75,30,0.29,102.98,15
1b,0.73,30,0.27,109.56,15
1b,0.81,30,0.32,94.27,15
1b,0.85,30,0.30,100.52,15
1b,0.75,30,0.31,97.45,15
1b,0.74,30,0.27,109.83,15
1b,0.70,30,0.29,103.35,15
1b,0.77,30,0.28,107.60,15
1b,0.84,30,0.32,94.29,15
1b,0.73,30,0.30,99.48,15
1b,0.70,30,0.28,107.99,15
1b,0.82,30,0.32,92.33,15
1b,0.81,30,0.30,99.25,15
1b,0.76,30,0.28,108.44,15
1b,0.84,30,0.31,97.31,15
1b,0.78,30,0.27,112.03,15
1b,0.72,30,0.27,109.19,15
1b,0.69,30,0.27,110.32,15
1b,0.84,30,0.29,102.67,15
1b,0.79,30,0.27,109.54,15
1b,0.72,30,0.27,109.50,15
1b,0.70,30,0.29,103.08,15
1b,0.75,30,0.28,108.27,15
1b,0.75,30,0.27,109.49,15
1b,0.70,30,0.27,110.55,15
1b,0.69,30,0.28,107.96,15
1b,0.70,30,0.28,108.56,15
1b,0.76,30,0.30,99.13,15
1b,0.75,30,0.28,108.88,15
1b,0.69,30,0.27,109.27,15
1b,0.86,30,0.34,87.62,15
1b,0.78,30,0.29,102.79,15
1b,0.75,30,0.27,110.34,15
1b,0.70,30,0.29,104.16,15
1b,0.76,30,0.27,109.63,15
1b,0.73,30,0.27,109.60,15
1b,0.86,30,0.32,94.98,15
1b,0.86,30,0.32,92.76,15
1b,0.75,30,0.31,97.37,15
1b,0.82,30,0.28,106.42,15
1b,0.74,30,0.27,109.83,15
1b,0.72,30,0.28,108.88,15
1b,0.87,30,0.30,101.17,15
1b,0.84,30,0.28,108.69,15
1b,0.83,30,0.32,93.78,15
1b,0.79,30,0.29,103.81,15
1b,0.79,30,0.27,109.91,15
1b,0.80,30,0.32,93.66,15
1b,0.77,30,0.29,102.37,15
1b,0.75,30,0.27,109.29,15
1b,0.71,30,0.27,111.21,15
1b,0.76,30,0.29,101.94,15
1b,0.85,30,0.28,107.42,15
1b,0.73,30,0.30,99.13,15
1b,0.72,30,0.28,106.24,15
1b,0.69,30,0.27,109.76,15
1b,0.70,30,0.27,109.11,15
1b,0.75,30,0.30,100.61,15
1b,0.76,30,0.28,108.68,15
1b,0.72,30,0.27,111.41,15
1b,0.86,30,0.31,97.21,15
1b,0.82,30,0.28,107.86,15
1b,0.77,30,0.27,109.54,15
1b,0.74,30,0.29,102.65,15
1b,0.72,30,0.28,109.01,15
1b,0.68,30,0.27,110.57,15
1b,0.84,30,0.29,102.80,15
1b,0.79,30,0.28,107.84,15
1b,0.74,30,0.27,109.68,15
1b,0.74,30,0.28,106.85,15
